축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
서산해미읍성축제,2018,3,39400.0,58296.0,0.0,97696.0,32565.3333,,,N/A,97696.0,40.33,59.67,0.0,0.0
서산해미읍성축제,2019,3,42694.0,69242.0,0.0,111936.0,37312.0,32565.3333,14.6,97696,14240.0,38.14,61.86,0.0,14.58
서산해미읍성축제,2022,3,42236.0,57249.0,146.0,99631.0,33210.3333,37312.0,-11.0,111936,-12305.0,42.39,57.46,0.15,-10.99
서산해미읍성축제,2023,3,43239.0,46942.0,428.0,90609.0,30203.0,33210.3333,-9.1,99631,-9022.0,47.72,51.81,0.47,-9.06
서산해미읍성축제,2024,4,54329.0,61471.0,743.0,116543.0,29135.75,30203.0,-3.5,90609,25934.0,46.62,52.75,0.64,28.62
서산해미읍성축제,2025,3,41280.0,44914.0,263.0,86457.0,28819.0,29135.75,-1.1,116543,-30086.0,47.75,51.95,0.3,-25.82
