대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,16.7,78.1
쇼핑업,대형쇼핑몰,16.7,21.1
쇼핑업,레저용품쇼핑,16.7,0.8
숙박업,기타숙박,0.2,78.0
숙박업,캠핑장/펜션,0.2,22.0
식음료업,일반외식업,16.8,90.3
식음료업,제과음료업,16.8,9.7
여가서비스업,골프장,4.9,87.3
여가서비스업,관광유원시설,4.9,0.1
여가서비스업,기타레저,4.9,12.1
여가서비스업,문화서비스,4.9,0.5
운송업,육상운송,61.2,100.0
의료웰니스업,뷰티,0.1,100.0
