축제명,연령대,남성비율,여성비율
연천구석기축제,70세 이상,3.2,2.9
연천구석기축제,60~69세,8.5,7.0
연천구석기축제,50~59세,10.4,9.4
연천구석기축제,40~49세,9.6,8.2
연천구석기축제,30~39세,7.7,7.1
연천구석기축제,20~29세,10.1,5.8
연천구석기축제,10~19세,4.4,3.8
연천구석기축제,0~9세,0.9,1.0
