축제명,연령대,남성비율,여성비율
광안리어방축제,70세 이상,3.7,2.9
광안리어방축제,60~69세,7.2,5.6
광안리어방축제,50~59세,6.7,7.3
광안리어방축제,40~49세,6.8,6.7
광안리어방축제,30~39세,9.6,9.3
광안리어방축제,20~29세,11.9,15.5
광안리어방축제,10~19세,2.6,3.2
광안리어방축제,0~9세,0.3,0.4
