축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
광안리어방축제,2018,3,54801.0,98819.0,0.0,153620.0,51206.6667,,,N/A,153620.0,35.67,64.33,0.0,0.0
광안리어방축제,2019,3,50017.0,76617.0,0.0,126634.0,42211.3333,51206.6667,-17.6,153620,-26986.0,39.5,60.5,0.0,-17.57
광안리어방축제,2022,3,68438.0,104937.0,1570.0,174945.0,58315.0,42211.3333,38.2,126634,48311.0,39.12,59.98,0.9,38.15
광안리어방축제,2023,3,64075.0,115398.0,2501.0,181974.0,60658.0,58315.0,4.0,174945,7029.0,35.21,63.41,1.37,4.02
광안리어방축제,2024,3,62252.0,132857.0,3381.0,198490.0,66163.3333,60658.0,9.1,181974,16516.0,31.36,66.93,1.7,9.08
광안리어방축제,2025,3,56674.0,112218.0,5361.0,174253.0,58084.3333,66163.3333,-12.2,198490,-24237.0,32.52,64.4,3.08,-12.21
