기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
동향면,1390495.0,3.2
마령면,6457285.0,15.0
백운면,2293146.0,5.3
부귀면,5184530.0,12.0
상전면,1048747.0,2.4
성수면,1932470.0,4.5
안천면,2041607.0,4.7
용담면,1769031.0,4.1
정천면,1923704.0,4.5
주천면,3320801.0,7.7
진안읍,1.5801275E7,36.6
