행정동명,비율(%)
군서면,0.9
금정면,6.8
덕진면,1.6
도포면,1.4
미암면,1.1
삼호읍,67.8
서호면,0.2
시종면,1.1
신북면,7.6
영암읍,8.2
학산면,3.3
