행정동명,비율(%)
고등동,0.4
곡선동,2.2
광교1동,6.3
광교2동,5.3
구운동,4.5
권선1동,2.5
권선2동,2.9
금곡동,1.4
망포1동,0.6
망포2동,0.5
매교동,0.3
매산동,14.7
매탄1동,0.4
매탄2동,0.4
매탄3동,1.2
매탄4동,0.3
서둔동,7.8
세류1동,1.0
세류2동,0.8
세류3동,0.6
송죽동,2.3
연무동,0.7
영통1동,0.3
영통2동,1.8
영통3동,4.4
영화동,1.7
우만1동,0.8
우만2동,1.4
원천동,2.5
율천동,1.6
인계동,12.0
입북동,0.7
정자1동,0.3
정자2동,1.3
정자3동,1.0
조원1동,0.6
조원2동,1.1
지동,0.7
태장동,0.0
파장동,2.3
평동,3.7
행궁동,2.3
호매실동,0.9
화서1동,0.5
화서2동,0.8
