기초지자체명,중분류,소비액(천원),전년동기 소비액
중구,관광총소비,6.600323605E9,5.716755413E9
서구,관광총소비,2.518677058E9,2.165694064E9
남구,관광총소비,1.404307233E9,1.216081186E9
달서구,관광총소비,5.529534726E9,4.817872063E9
달성군,관광총소비,2.629025807E9,2.258453137E9
군위군,관광총소비,1.605588831E9,1.369350994E9
북구,관광총소비,5.217430575E9,4.541438898E9
동구,관광총소비,1.2797891817E10,1.0817291369E10
수성구,관광총소비,5.433909372E9,4.688196781E9
