대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,40.6,18.8
쇼핑업,대형쇼핑몰,40.6,76.3
쇼핑업,레저용품쇼핑,40.6,4.9
숙박업,기타숙박,0.7,70.8
숙박업,캠핑장/펜션,0.7,2.9
숙박업,호텔,0.7,26.3
식음료업,일반외식업,32.6,82.6
식음료업,제과음료업,32.6,17.4
여가서비스업,골프장,2.3,12.7
여가서비스업,관광유원시설,2.3,0.4
여가서비스업,기타레저,2.3,32.9
여가서비스업,문화서비스,2.3,54.0
여행업,여행업,0.3,100.0
운송업,렌터카,20.1,0.0
운송업,육상운송,20.1,12.3
운송업,항공운송,20.1,87.7
의료웰니스업,뷰티,3.5,100.0
