행정동명,비율(%)
남산1동,1.0
남산2동,1.2
남산3동,0.4
남산4동,0.8
대봉1동,8.4
대봉2동,0.6
대신동,2.2
동인동,21.3
삼덕동,10.6
성내1동,18.1
성내2동,34.5
성내3동,0.7
