축제명,연령대,남성비율,여성비율
포항국제불빛축제,70세 이상,3.3,3.1
포항국제불빛축제,60~69세,8.1,7.5
포항국제불빛축제,50~59세,9.5,9.4
포항국제불빛축제,40~49세,8.3,7.9
포항국제불빛축제,30~39세,8.0,7.2
포항국제불빛축제,20~29세,8.6,8.4
포항국제불빛축제,10~19세,4.3,5.0
포항국제불빛축제,0~9세,0.6,0.7
