대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,32.0,85.0
쇼핑업,대형쇼핑몰,32.0,11.0
쇼핑업,레저용품쇼핑,32.0,4.0
숙박업,기타숙박,1.9,90.8
숙박업,캠핑장/펜션,1.9,9.2
식음료업,일반외식업,28.8,87.7
식음료업,제과음료업,28.8,12.3
여가서비스업,골프장,13.9,87.8
여가서비스업,관광유원시설,13.9,0.0
여가서비스업,기타레저,13.9,10.4
여가서비스업,문화서비스,13.9,1.8
여행업,여행업,0.0,100.0
운송업,렌터카,22.6,0.1
운송업,육상운송,22.6,99.9
의료웰니스업,뷰티,0.8,100.0
