행정동명,비율(%)
가곡동,2.1
교동,2.2
내이동,17.6
내일동,9.7
단장면,7.9
무안면,4.4
부북면,5.0
산내면,5.2
산외면,7.0
삼랑진읍,10.5
삼문동,9.0
상남면,7.2
상동면,2.5
청도면,0.2
초동면,1.4
하남읍,8.1
