대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,21.4,87.5
쇼핑업,대형쇼핑몰,21.4,5.1
쇼핑업,레저용품쇼핑,21.4,7.5
숙박업,기타숙박,1.0,94.5
숙박업,캠핑장/펜션,1.0,4.9
숙박업,호텔,1.0,0.5
식음료업,일반외식업,20.3,92.1
식음료업,제과음료업,20.3,7.9
여가서비스업,골프장,12.4,92.4
여가서비스업,관광유원시설,12.4,0.3
여가서비스업,기타레저,12.4,5.9
여가서비스업,문화서비스,12.4,1.4
여행업,여행업,0.0,100.0
운송업,렌터카,43.9,0.2
운송업,육상운송,43.9,99.8
의료웰니스업,뷰티,1.0,100.0
