축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
인천펜타포트음악축제,2018,3,59785.0,79304.0,0.0,139089.0,46363.0,,,N/A,139089.0,42.98,57.02,0.0,0.0
인천펜타포트음악축제,2019,3,56514.0,62168.0,0.0,118682.0,39560.6667,46363.0,-14.7,139089,-20407.0,47.62,52.38,0.0,-14.67
인천펜타포트음악축제,2022,3,68316.0,126659.0,535.0,195510.0,65170.0,39560.6667,64.7,118682,76828.0,34.94,64.78,0.27,64.73
인천펜타포트음악축제,2023,3,67738.0,109942.0,1786.0,179466.0,59822.0,65170.0,-8.2,195510,-16044.0,37.74,61.26,1.0,-8.21
인천펜타포트음악축제,2024,3,66389.0,109747.0,2498.0,178634.0,59544.6667,59822.0,-0.5,179466,-832.0,37.16,61.44,1.4,-0.46
인천펜타포트음악축제,2025,3,83732.0,113080.0,3690.0,200502.0,66834.0,59544.6667,12.2,178634,21868.0,41.76,56.4,1.84,12.24
