축제명,연령대,남성비율,여성비율
인천펜타포트음악축제,70세 이상,1.0,1.0
인천펜타포트음악축제,60~69세,3.7,2.8
인천펜타포트음악축제,50~59세,6.9,6.0
인천펜타포트음악축제,40~49세,9.4,8.5
인천펜타포트음악축제,30~39세,10.9,11.5
인천펜타포트음악축제,20~29세,11.3,17.3
인천펜타포트음악축제,10~19세,4.2,4.5
인천펜타포트음악축제,0~9세,0.6,0.6
