대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,28.1,97.6
쇼핑업,레저용품쇼핑,28.1,2.4
숙박업,기타숙박,1.7,90.8
숙박업,캠핑장/펜션,1.7,9.2
식음료업,일반외식업,36.3,87.5
식음료업,제과음료업,36.3,12.5
여가서비스업,골프장,15.5,89.8
여가서비스업,관광유원시설,15.5,0.6
여가서비스업,기타레저,15.5,8.9
여가서비스업,문화서비스,15.5,0.7
여행업,여행업,0.0,100.0
운송업,렌터카,17.5,0.1
운송업,육상운송,17.5,99.9
의료웰니스업,뷰티,0.9,100.0
