대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,20.3,89.5
쇼핑업,대형쇼핑몰,20.3,6.5
쇼핑업,레저용품쇼핑,20.3,4.0
숙박업,기타숙박,1.0,83.2
숙박업,캠핑장/펜션,1.0,14.0
숙박업,콘도,1.0,0.1
숙박업,호텔,1.0,2.8
식음료업,일반외식업,25.8,87.8
식음료업,제과음료업,25.8,12.2
여가서비스업,골프장,6.5,86.8
여가서비스업,관광유원시설,6.5,1.1
여가서비스업,기타레저,6.5,10.1
여가서비스업,문화서비스,6.5,2.0
여행업,여행업,0.0,100.0
운송업,렌터카,45.4,0.1
운송업,육상운송,45.4,99.9
의료웰니스업,뷰티,0.9,100.0
