행정동명,비율(%)
두동면,1.5
두서면,0.6
범서읍,11.6
삼남읍,9.6
삼동면,3.9
상북면,3.0
서생면,6.5
언양읍,16.2
온산읍,11.0
온양읍,7.5
웅촌면,11.9
청량읍,16.7
