기초지자체명,중분류,소비액(천원),전년동기 소비액
중구,관광총소비,1.94200372E9,1.685581536E9
남구,관광총소비,7.250654705E9,6.240690042E9
북구,관광총소비,2.974343935E9,2.576584644E9
동구,관광총소비,1.209883328E9,1.056881819E9
울주군,관광총소비,4.467544409E9,3.826235628E9
