행정동명,비율(%)
고삼면,1.2
공도읍,25.0
금광면,1.6
대덕면,3.4
미양면,2.8
보개면,2.2
삼죽면,2.4
서운면,8.4
안성1동,1.1
안성2동,6.0
안성3동,2.4
양성면,7.7
원곡면,22.8
일죽면,5.8
죽산면,7.2
