행정동명,비율(%)
갈산1동,5.1
갈산2동,1.3
부개1동,1.8
부개2동,1.6
부개3동,1.3
부평1동,10.2
부평2동,0.9
부평3동,1.8
부평4동,8.3
부평5동,15.0
부평6동,1.6
산곡1동,0.6
산곡2동,2.2
산곡3동,2.5
산곡4동,0.9
삼산1동,6.1
삼산2동,6.1
십정1동,5.6
십정2동,6.6
일신동,10.2
청천1동,4.1
청천2동,6.4
