기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
관산읍,4802940.0,10.0
대덕읍,2793515.0,5.8
부산면,2935825.0,6.1
안양면,3771196.0,7.8
용산면,2238804.0,4.7
유치면,1565655.0,3.3
장동면,943200.0,2.0
장평면,3128547.0,6.5
장흥읍,2.2950844E7,47.7
회진면,2956307.0,6.1
