기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
군남면,6987484.0,8.4
미산면,5068150.0,6.1
백학면,6969879.0,8.4
신서면,6014298.0,7.2
연천읍,1.3110226E7,15.8
왕징면,2059088.0,2.5
장남면,3498719.0,4.2
전곡읍,2.5642144E7,30.9
중면,2112915.0,2.5
청산면,1.1565211E7,13.9
