기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
고삼면,9172142.0,3.0
공도읍,5.5098894E7,17.8
금광면,1.1843517E7,3.8
대덕면,1.8575935E7,6.0
미양면,1.2397497E7,4.0
보개면,1.2361972E7,4.0
삼죽면,8935658.0,2.9
서운면,1.3699581E7,4.4
안성1동,1.1916611E7,3.8
안성2동,2.4561964E7,7.9
안성3동,1.5634426E7,5.0
양성면,2.70261E7,8.7
원곡면,4.19314E7,13.5
일죽면,2.8556258E7,9.2
죽산면,1.816163E7,5.9
