기초지자체,방문자 수
포항시,4.15062574E8
경주시,3.48471988E8
김천시,1.02854034E8
안동시,1.39478706E8
구미시,2.03389638E8
영주시,6.9784232E7
영천시,9.9187361E7
상주시,1.01285076E8
문경시,8.5649E7
경산시,2.404696E8
의성군,5.4844996E7
청송군,3.9936642E7
영양군,1.3573668E7
영덕군,7.8722672E7
청도군,7.8235458E7
고령군,4.6645834E7
성주군,5.7630734E7
칠곡군,1.57681178E8
예천군,5.2571712E7
봉화군,3.4550621E7
울진군,6.158601E7
울릉군,1.251649E7
