기초지자체,방문자 수
창원시 의창구,2.78538701E8
창원시 성산구,2.51115574E8
창원시 마산합포구,1.9903982E8
창원시 마산회원구,1.67074901E8
창원시 진해구,1.39556081E8
진주시,1.79313578E8
통영시,1.26988379E8
사천시,1.22120229E8
김해시,3.33227926E8
밀양시,1.12159173E8
거제시,1.79710958E8
양산시,2.64510477E8
의령군,3.3379675E7
함안군,8.2834829E7
창녕군,7.5223029E7
고성군,7.4810911E7
남해군,6.6839378E7
하동군,5.8847852E7
산청군,5.3873676E7
함양군,4.8281842E7
거창군,5.2880544E7
합천군,5.397267E7
