기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
고북면,4682454.0,2.6
대산읍,2.3324574E7,13.1
동문1동,1.054823E7,5.9
동문2동,1.6258414E7,9.2
부석면,1.2934072E7,7.3
부춘동,2.1612006E7,12.2
석남동,1.8255948E7,10.3
성연면,7413448.0,4.2
수석동,9062431.0,5.1
운산면,9632466.0,5.4
음암면,7329469.0,4.1
인지면,4487276.0,2.5
지곡면,5556593.0,3.1
팔봉면,4850738.0,2.7
해미면,2.1567242E7,12.1
