기초지자체,방문자 수
천안시 동남구,3.5180867E8
천안시 서북구,3.04066662E8
공주시,2.0208847E8
보령시,1.33267232E8
아산시,2.73631953E8
서산시,1.43306933E8
논산시,1.2502001E8
계룡시,3.9629096E7
당진시,1.65635232E8
금산군,7.9118736E7
부여군,8.3900716E7
서천군,7.7941846E7
청양군,3.671521E7
홍성군,9.6240403E7
예산군,1.13954862E8
태안군,1.3145392E8
