축제명,연령대,남성비율,여성비율
정남진장흥물축제,70세 이상,3.7,3.8
정남진장흥물축제,60~69세,8.3,6.9
정남진장흥물축제,50~59세,11.6,10.5
정남진장흥물축제,40~49세,9.7,8.8
정남진장흥물축제,30~39세,6.8,6.5
정남진장흥물축제,20~29세,6.3,5.4
정남진장흥물축제,10~19세,5.0,4.8
정남진장흥물축제,0~9세,0.9,1.0
