축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
정남진장흥물축제,2018,7,107219.0,125625.0,0.0,232844.0,33263.4286,,,N/A,232844.0,46.05,53.95,0.0,0.0
정남진장흥물축제,2019,7,113509.0,117192.0,0.0,230701.0,32957.2857,33263.4286,-0.9,232844,-2143.0,49.2,50.8,0.0,-0.92
정남진장흥물축제,2022,9,152601.0,158739.0,139.0,311479.0,34608.7778,32957.2857,5.0,230701,80778.0,48.99,50.96,0.04,35.01
정남진장흥물축제,2023,9,163708.0,175410.0,622.0,339740.0,37748.8889,34608.7778,9.1,311479,28261.0,48.19,51.63,0.18,9.07
정남진장흥물축제,2024,9,162955.0,170997.0,465.0,334417.0,37157.4444,37748.8889,-1.6,339740,-5323.0,48.73,51.13,0.14,-1.57
정남진장흥물축제,2025,9,170682.0,161607.0,1036.0,333325.0,37036.1111,37157.4444,-0.3,334417,-1092.0,51.21,48.48,0.31,-0.33
