구분,순위,읍면동명,목적지명,도로명주소,카테고리
현지인,13,송정동,송정해변풋살경기장,강원 강릉시 창해로 85-8,기타레저스포츠
현지인,15,포남2동,자연아놀자,강원 강릉시 난설헌로 105-0,전시시설
현지인,16,포남2동,강릉올림픽뮤지엄,강원 강릉시 수리골길 102-0,전시시설
현지인,17,송정동,강릉항방파제,강원 강릉시 창해로14번길 51-4,자연경관(하천/해양)
현지인,18,송정동,안목해변펫비치,강원 강릉시 창해로 17-0,자연경관(하천/해양)
현지인,19,초당동,강문해변,강원 강릉시,자연경관(하천/해양)
현지인,19,송정동,환희컵박물관,강원 강릉시 해안로 10-0,전시시설
현지인,19,포남2동,공씨네공방,강원 강릉시 강릉대로 541-0,공예체험
현지인,22,초당동,커피커퍼박물관,강원 강릉시 해안로 341-0,전시시설
현지인,22,송정동,신라모노그램강릉레지던스수영장,강원 강릉시 해안로 210-0,테마공원
현지인,24,포남2동,55베이킹스튜디오,강원 강릉시 산양길26번길 27-2,기타문화관광지
현지인,24,초당동,죽헌저수지,강원 강릉시,자연경관(하천/해양)
