축제명,연령대,남성비율,여성비율
진안홍삼축제,70세 이상,4.8,3.6
진안홍삼축제,60~69세,12.0,9.2
진안홍삼축제,50~59세,14.2,13.0
진안홍삼축제,40~49세,8.8,7.4
진안홍삼축제,30~39세,6.4,5.3
진안홍삼축제,20~29세,4.8,4.1
진안홍삼축제,10~19세,2.9,2.8
진안홍삼축제,0~9세,0.4,0.5
