축제명,연령대,남성비율,여성비율
울산옹기축제,70세 이상,2.5,2.2
울산옹기축제,60~69세,7.5,6.0
울산옹기축제,50~59세,12.1,11.2
울산옹기축제,40~49세,10.7,10.0
울산옹기축제,30~39세,7.6,7.0
울산옹기축제,20~29세,6.3,5.6
울산옹기축제,10~19세,5.2,4.5
울산옹기축제,0~9세,0.7,0.9
