축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
고령대가야축제,2018,4,35988.0,43918.0,0.0,79906.0,19976.5,,,N/A,79906.0,45.04,54.96,0.0,0.0
고령대가야축제,2019,4,37307.0,54113.0,0.0,91420.0,22855.0,19976.5,14.4,79906,11514.0,40.81,59.19,0.0,14.41
고령대가야축제,2022,4,38013.0,57655.0,34.0,95702.0,23925.5,22855.0,4.7,91420,4282.0,39.72,60.24,0.04,4.68
고령대가야축제,2023,3,33054.0,55609.0,173.0,88836.0,29612.0,23925.5,23.8,95702,-6866.0,37.21,62.6,0.19,-7.17
고령대가야축제,2024,3,30901.0,57526.0,232.0,88659.0,29553.0,29612.0,-0.2,88836,-177.0,34.85,64.88,0.26,-0.2
