축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
보성다향대축제,2018,5,35116.0,44564.0,0.0,79680.0,15936.0,,,N/A,79680.0,44.07,55.93,0.0,0.0
보성다향대축제,2019,5,39497.0,60576.0,0.0,100073.0,20014.6,15936.0,25.6,79680,20393.0,39.47,60.53,0.0,25.59
보성다향대축제,2023,9,84619.0,95324.0,1039.0,180982.0,20109.1111,20014.6,0.5,100073,80909.0,46.76,52.67,0.57,80.85
보성다향대축제,2024,5,45718.0,51377.0,430.0,97525.0,19505.0,20109.1111,-3.0,180982,-83457.0,46.88,52.68,0.44,-46.11
보성다향대축제,2025,5,45725.0,92331.0,502.0,138558.0,27711.6,19505.0,42.1,97525,41033.0,33.0,66.64,0.36,42.07
