축제명,연령대,남성비율,여성비율
순창장류축제,70세 이상,4.3,4.3
순창장류축제,60~69세,11.7,9.4
순창장류축제,50~59세,13.4,12.4
순창장류축제,40~49세,9.0,8.1
순창장류축제,30~39세,6.2,5.4
순창장류축제,20~29세,4.7,3.7
순창장류축제,10~19세,3.1,3.2
순창장류축제,0~9세,0.5,0.4
