축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
순창장류축제,2018,3,21077.0,45997.0,0.0,67074.0,22358.0,,,N/A,67074.0,31.42,68.58,0.0,0.0
순창장류축제,2019,3,21171.0,47441.0,0.0,68612.0,22870.6667,22358.0,2.3,67074,1538.0,30.86,69.14,0.0,2.29
순창장류축제,2022,3,30150.0,53900.0,34.0,84084.0,28028.0,22870.6667,22.5,68612,15472.0,35.86,64.1,0.04,22.55
순창장류축제,2023,3,30582.0,43492.0,82.0,74156.0,24718.6667,28028.0,-11.8,84084,-9928.0,41.24,58.65,0.11,-11.81
순창장류축제,2024,3,28005.0,45701.0,154.0,73860.0,24620.0,24718.6667,-0.4,74156,-296.0,37.92,61.88,0.21,-0.4
순창장류축제,2025,3,28489.0,54206.0,126.0,82821.0,27607.0,24620.0,12.1,73860,8961.0,34.4,65.45,0.15,12.13
