행정동명,비율(%)
기배동,0.8
남양읍,7.5
동탄1동,7.2
동탄2동,0.8
동탄3동,1.1
동탄4동,0.8
동탄5동,3.9
동탄6동,3.6
동탄7동,2.2
동탄8동,1.9
동탄9동,1.3
마도면,2.4
매송면,2.7
반월동,2.7
병점1동,2.4
병점2동,0.5
봉담읍,7.8
비봉면,3.0
새솔동,1.1
서신면,3.0
송산면,7.2
양감면,0.8
우정읍,2.6
장안면,1.8
정남면,3.0
진안동,4.1
태안읍,0.0
팔탄면,13.0
향남읍,7.5
화산동,3.1
