기초지자체,방문자 수
청주시 상당구,2.37708499E8
청주시 서원구,2.39626996E8
청주시 흥덕구,2.86210466E8
청주시 청원구,2.08764941E8
충주시,2.00555474E8
제천시,1.1306743E8
보은군,5.4463392E7
옥천군,8.5004367E7
영동군,5.108314E7
증평군,4.5218985E7
진천군,9.7581505E7
괴산군,7.9383591E7
음성군,1.35176604E8
단양군,6.8059736E7
