기초지자체,방문자 수
목포시,1.97058978E8
여수시,2.03115637E8
순천시,1.94971015E8
나주시,1.24192599E8
광양시,1.04321607E8
담양군,1.18102735E8
곡성군,4.1951409E7
구례군,4.5601785E7
고흥군,5.0416157E7
보성군,5.3809323E7
화순군,9.5784023E7
장흥군,4.0073745E7
강진군,4.3868006E7
해남군,6.7853811E7
영암군,7.8773627E7
무안군,1.1531744E8
함평군,4.7260138E7
영광군,5.6072376E7
장성군,7.7029604E7
완도군,4.6821388E7
진도군,3.6932939E7
신안군,5.1921814E7
