기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
대성동,5909676.0,1.8
동명동,6330373.0,2.0
만호동,2.089322E7,6.5
목원동,3.1334242E7,9.8
부주동,1.5588966E7,4.9
부흥동,1.8253133E7,5.7
북항동,1.2642444E7,4.0
산정동,4685936.0,1.5
삼학동,5646362.0,1.8
삼향동,7017880.0,2.2
상동,1.5388338E7,4.8
신흥동,5.0465945E7,15.8
연동,7716497.0,2.4
연산동,1.0661683E7,3.3
옥암동,1.2431009E7,3.9
용당1동,8661400.0,2.7
용당2동,6089683.0,1.9
용해동,6667972.0,2.1
원산동,1.2387318E7,3.9
유달동,1.7770264E7,5.6
이로동,6720998.0,2.1
죽교동,1.2118079E7,3.8
하당동,2.4208087E7,7.6
