축제명,연령대,남성비율,여성비율
부평풍물대축제,70세 이상,3.0,3.1
부평풍물대축제,60~69세,6.7,7.2
부평풍물대축제,50~59세,7.3,9.0
부평풍물대축제,40~49세,7.1,7.1
부평풍물대축제,30~39세,10.3,9.5
부평풍물대축제,20~29세,10.7,11.8
부평풍물대축제,10~19세,2.8,3.6
부평풍물대축제,0~9세,0.4,0.4
