기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
구림면,2187785.0,5.1
금과면,1538326.0,3.6
동계면,2375844.0,5.6
복흥면,2827569.0,6.6
순창읍,1.7801017E7,41.8
쌍치면,1601377.0,3.8
유등면,1109872.0,2.6
인계면,1404767.0,3.3
적성면,3467068.0,8.1
팔덕면,6696715.0,15.7
풍산면,1617338.0,3.8
