기초지자체,방문자 수
전주시 완산구,3.12538301E8
전주시 덕진구,2.85634761E8
군산시,1.92662721E8
익산시,1.84199646E8
정읍시,8.831126E7
남원시,7.834061E7
김제시,9.1838738E7
완주군,1.5828106E8
진안군,3.6433037E7
무주군,6.1687103E7
장수군,2.2107378E7
임실군,5.9837252E7
순창군,3.6505517E7
고창군,7.586481E7
부안군,7.8843502E7
