축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
대구치맥페스티벌,2018,5,105973.0,147276.0,0.0,253249.0,50649.8,,,N/A,253249.0,41.85,58.15,0.0,0.0
대구치맥페스티벌,2019,5,108254.0,140051.0,0.0,248305.0,49661.0,50649.8,-2.0,253249,-4944.0,43.6,56.4,0.0,-1.95
대구치맥페스티벌,2022,5,85961.0,141431.0,110.0,227502.0,45500.4,49661.0,-8.4,248305,-20803.0,37.78,62.17,0.05,-8.38
대구치맥페스티벌,2023,5,96663.0,130011.0,2076.0,228750.0,45750.0,45500.4,0.5,227502,1248.0,42.26,56.84,0.91,0.55
대구치맥페스티벌,2024,5,100824.0,132578.0,870.0,234272.0,46854.4,45750.0,2.4,228750,5522.0,43.04,56.59,0.37,2.41
대구치맥페스티벌,2025,5,101963.0,136937.0,606.0,239506.0,47901.2,46854.4,2.2,234272,5234.0,42.57,57.17,0.25,2.23
