대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,19.7,98.4
쇼핑업,대형쇼핑몰,19.7,0.1
쇼핑업,레저용품쇼핑,19.7,1.5
숙박업,기타숙박,1.3,71.1
숙박업,캠핑장/펜션,1.3,28.9
식음료업,일반외식업,31.8,89.3
식음료업,제과음료업,31.8,10.7
여가서비스업,골프장,5.0,59.9
여가서비스업,관광유원시설,5.0,28.3
여가서비스업,기타레저,5.0,9.3
여가서비스업,문화서비스,5.0,2.5
여행업,여행업,0.0,100.0
운송업,렌터카,41.7,0.0
운송업,육상운송,41.7,100.0
의료웰니스업,뷰티,0.6,100.0
