행정동명,비율(%)
구림면,1.3
금과면,2.1
동계면,1.9
복흥면,2.8
순창읍,82.9
쌍치면,0.9
유등면,1.1
인계면,1.0
적성면,0.6
팔덕면,4.6
풍산면,0.7
