행정동명,비율(%)
동향면,0.6
마령면,6.4
백운면,1.2
부귀면,12.0
상전면,0.4
성수면,3.5
안천면,2.4
용담면,1.7
정천면,1.3
주천면,2.4
진안읍,68.1
