대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,35.2,99.5
쇼핑업,대형쇼핑몰,35.2,0.3
쇼핑업,레저용품쇼핑,35.2,0.2
숙박업,기타숙박,1.6,73.9
숙박업,캠핑장/펜션,1.6,26.1
식음료업,일반외식업,26.4,90.3
식음료업,제과음료업,26.4,9.7
여가서비스업,골프장,7.4,95.8
여가서비스업,기타레저,7.4,3.8
여가서비스업,문화서비스,7.4,0.4
여행업,여행업,0.0,100.0
운송업,렌터카,29.0,0.0
운송업,육상운송,29.0,100.0
의료웰니스업,뷰티,0.3,100.0
