기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
강남동,9160942.0,1.8
강동면,2.5997464E7,5.2
경포동,5.5898336E7,11.1
교1동,2.6689124E7,5.3
교2동,1.366499E7,2.7
구정면,9263964.0,1.8
내곡동,1.0875627E7,2.2
사천면,2.9036259E7,5.8
성덕동,1.80962E7,3.6
성산면,1.3758563E7,2.7
송정동,3.2849876E7,6.5
연곡면,1.3883177E7,2.8
옥계면,1.4240734E7,2.8
옥천동,3.0786248E7,6.1
왕산면,3568996.0,0.7
주문진읍,4.5530502E7,9.1
중앙동,2.8258674E7,5.6
초당동,4.4615788E7,8.9
포남1동,1.5558788E7,3.1
포남2동,4.4971052E7,8.9
홍제동,1.5873134E7,3.2
