축제명,연령대,남성비율,여성비율
정선아리랑제,70세 이상,4.7,4.0
정선아리랑제,60~69세,10.5,9.5
정선아리랑제,50~59세,13.1,11.4
정선아리랑제,40~49세,9.5,8.2
정선아리랑제,30~39세,6.2,5.1
정선아리랑제,20~29세,4.2,3.7
정선아리랑제,10~19세,4.3,4.2
정선아리랑제,0~9세,0.7,0.6
