대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,30.7,99.4
쇼핑업,대형쇼핑몰,30.7,0.1
쇼핑업,레저용품쇼핑,30.7,0.5
숙박업,기타숙박,0.3,69.9
숙박업,캠핑장/펜션,0.3,29.9
숙박업,호텔,0.3,0.3
식음료업,일반외식업,19.4,89.4
식음료업,제과음료업,19.4,10.6
여가서비스업,골프장,20.3,97.1
여가서비스업,관광유원시설,20.3,0.1
여가서비스업,기타레저,20.3,2.5
여가서비스업,문화서비스,20.3,0.3
운송업,육상운송,29.1,100.0
의료웰니스업,뷰티,0.2,100.0
