축제명,연령대,남성비율,여성비율
안성맞춤남사당바우덕이축제,70세 이상,4.1,3.6
안성맞춤남사당바우덕이축제,60~69세,10.8,9.7
안성맞춤남사당바우덕이축제,50~59세,11.8,10.6
안성맞춤남사당바우덕이축제,40~49세,9.8,7.5
안성맞춤남사당바우덕이축제,30~39세,8.4,7.5
안성맞춤남사당바우덕이축제,20~29세,5.4,4.8
안성맞춤남사당바우덕이축제,10~19세,2.3,2.3
안성맞춤남사당바우덕이축제,0~9세,0.7,0.8
