기초지자체,방문자 수
춘천시,2.3436792E8
원주시,2.48025624E8
강릉시,2.62586044E8
동해시,8.8758674E7
태백시,4.1156616E7
속초시,1.84645083E8
삼척시,9.1503192E7
홍천군,1.37765971E8
횡성군,9.7843798E7
영월군,5.3598531E7
평창군,1.27322268E8
정선군,7.0421186E7
철원군,5.1501954E7
화천군,3.4573122E7
양구군,2.3286022E7
인제군,7.2827685E7
고성군,9.3955438E7
양양군,1.19988218E8
