대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,37.5,95.8
쇼핑업,대형쇼핑몰,37.5,0.1
쇼핑업,레저용품쇼핑,37.5,4.1
숙박업,기타숙박,2.0,92.4
숙박업,캠핑장/펜션,2.0,2.1
숙박업,콘도,2.0,0.7
숙박업,호텔,2.0,4.8
식음료업,일반외식업,25.6,90.5
식음료업,제과음료업,25.6,9.5
여가서비스업,골프장,13.0,96.6
여가서비스업,관광유원시설,13.0,0.2
여가서비스업,기타레저,13.0,2.4
여가서비스업,문화서비스,13.0,0.8
여행업,여행업,0.0,100.0
운송업,렌터카,21.4,0.0
운송업,수상운송,21.4,0.0
운송업,육상운송,21.4,100.0
의료웰니스업,뷰티,0.4,100.0
