대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,29.0,64.8
쇼핑업,대형쇼핑몰,29.0,29.5
쇼핑업,레저용품쇼핑,29.0,5.7
숙박업,기타숙박,2.2,57.2
숙박업,캠핑장/펜션,2.2,2.1
숙박업,호텔,2.2,40.7
식음료업,일반외식업,55.6,88.2
식음료업,제과음료업,55.6,11.8
여가서비스업,골프장,2.5,5.3
여가서비스업,관광유원시설,2.5,0.1
여가서비스업,기타레저,2.5,59.8
여가서비스업,문화서비스,2.5,34.8
여행업,여행업,0.0,100.0
운송업,렌터카,8.1,0.1
운송업,육상운송,8.1,99.9
의료웰니스업,뷰티,2.6,100.0
