축제명,연령대,남성비율,여성비율
임실N치즈축제,70세 이상,3.8,3.6
임실N치즈축제,60~69세,10.7,10.1
임실N치즈축제,50~59세,11.6,12.4
임실N치즈축제,40~49세,9.1,8.3
임실N치즈축제,30~39세,7.3,7.6
임실N치즈축제,20~29세,4.8,5.0
임실N치즈축제,10~19세,2.2,2.3
임실N치즈축제,0~9세,0.5,0.7
