기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
강진면,6484617.0,9.5
관촌면,6498479.0,9.6
덕치면,1613167.0,2.4
삼계면,1552422.0,2.3
성수면,5654053.0,8.3
신덕면,2040706.0,3.0
신평면,1577290.0,2.3
오수면,2.1462873E7,31.6
운암면,7901468.0,11.6
임실읍,1.0706456E7,15.8
지사면,906748.0,1.3
청웅면,1560309.0,2.3
