축제명,연령대,남성비율,여성비율
밀양아리랑대축제,70세 이상,4.0,3.9
밀양아리랑대축제,60~69세,9.3,8.9
밀양아리랑대축제,50~59세,10.2,11.6
밀양아리랑대축제,40~49세,8.3,8.8
밀양아리랑대축제,30~39세,6.7,6.3
밀양아리랑대축제,20~29세,5.6,5.5
밀양아리랑대축제,10~19세,4.8,4.3
밀양아리랑대축제,0~9세,0.8,1.0
