축제명,연령대,남성비율,여성비율
한산모시문화제,70세 이상,5.3,4.8
한산모시문화제,60~69세,11.3,10.1
한산모시문화제,50~59세,12.1,12.4
한산모시문화제,40~49세,8.2,7.9
한산모시문화제,30~39세,5.7,5.4
한산모시문화제,20~29세,4.1,3.8
한산모시문화제,10~19세,3.3,4.5
한산모시문화제,0~9세,0.5,0.6
