축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율
한산모시문화제,2018,4,20801.0,19163.0,0.0,39964.0,9991.0,,,N/A,39964.0,52.05,47.95,0.0,0.0
한산모시문화제,2019,4,19404.0,18231.0,0.0,37635.0,9408.75,9991.0,-5.8,39964,-2329.0,51.56,48.44,0.0,-5.83
한산모시문화제,2022,3,21062.0,17472.0,6.0,38540.0,12846.6667,9408.75,36.5,37635,905.0,54.65,45.33,0.02,2.4
한산모시문화제,2023,3,14713.0,15316.0,26.0,30055.0,10018.3333,12846.6667,-22.0,38540,-8485.0,48.95,50.96,0.09,-22.02
한산모시문화제,2024,3,15375.0,18144.0,20.0,33539.0,11179.6667,10018.3333,11.6,30055,3484.0,45.84,54.1,0.06,11.59
한산모시문화제,2025,3,12978.0,13330.0,184.0,26492.0,8830.6667,11179.6667,-21.0,33539,-7047.0,48.99,50.32,0.69,-21.01
