기초지자체,방문자 수
중구,5.12146138E8
동구,4.51038784E8
서구,1.65340584E8
남구,2.17603547E8
북구,3.84100524E8
수성구,3.82858028E8
달서구,4.28667554E8
달성군,2.33099086E8
군위군,5.7549698E7
